City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
531,Singkang,MY,75.09,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
540,Libreville,GA,79.14,scattered clouds,0.3925,9.4537,Le Méridien Re-Ndama
543,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
548,Pemangkat,ID,76.71,overcast clouds,1.1667,108.9667,Ramah Kost KITA
551,Merauke,ID,82.62,overcast clouds,-8.4667,140.3333,
552,Talara,PE,77.76,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
554,Ixtapa,MX,76.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
560,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
562,Cap Malheureux,MU,79.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
563,Carutapera,BR,76.33,moderate rain,-1.195,-46.02,Lidera
573,Innisfail,AU,79.75,light rain,-17.5333,146.0333,Moondarra Motel
578,Nhulunbuy,AU,79.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
579,Port-Gentil,GA,79.9,few clouds,-0.7193,8.7815,Fengshui Residence
585,Lahaina,US,82.4,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
587,Ambulu,ID,76.06,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
590,Lethem,GY,84.45,overcast clouds,3.3803,-59.7968,Savannah Inn
593,Acajutla,SV,86.81,scattered clouds,13.5928,-89.8275,Laureles
597,Papara,BR,81.0,scattered clouds,-3.9839,-38.7273,Bela vista Maranguape
598,San Rafael,AR,76.86,clear sky,-34.6177,-68.3301,Hotel San Rafael
601,Kuching,MY,75.42,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
605,Pontian Kecil,MY,78.93,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
606,Lodwar,KE,86.23,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
607,Mahanoro,MG,75.87,overcast clouds,-19.9,48.8,BUNGALOW MAHAMANINA
609,Katherine,AU,77.32,broken clouds,-14.4667,132.2667,Pine Tree Motel
612,Charters Towers,AU,76.77,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
613,Mayumba,GA,76.91,broken clouds,-3.432,10.6554,LIKWALE LODGE
616,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
626,Boca Do Acre,BR,76.5,broken clouds,-8.7522,-67.3978,Hotel Sao Pedro
630,Isla Vista,US,80.01,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
632,Lagunas,PE,81.09,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
637,Ewa Beach,US,82.35,light intensity drizzle,21.3156,-158.0072,Uncle Junior Robert
643,Honiara,SB,84.43,overcast clouds,-9.4333,159.95,Heritage Park Hotel
645,Luwuk,ID,78.73,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
658,Olinda,BR,82.13,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
660,Miranda,CO,77.13,moderate rain,3.2499,-76.2281,unidiversidad organica la utopia
661,Pozo Colorado,PY,79.45,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
669,Port Moresby,PG,78.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
677,Makakilo City,US,80.92,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
678,Lamont,US,77.83,clear sky,35.2597,-118.9143,Buena Vista Mobile Home Park
