City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
259,Gaoual,GN,11.75,-13.2,81.0,13,3,1.19,clear sky
260,Mazagao,BR,-0.115,-51.2894,80.65,97,100,5.23,moderate rain
261,Meleuz,RU,52.9667,55.9167,16.92,97,100,2.44,overcast clouds
262,Srednekolymsk,RU,67.45,153.6833,-37.46,100,67,1.81,broken clouds
263,Iqaluit,CA,63.7506,-68.5145,-38.31,65,0,8.01,clear sky
264,Grand Gaube,MU,-20.0064,57.6608,79.38,82,84,3.0,broken clouds
265,Coahuayana,MX,18.7333,-103.6833,90.88,38,21,6.93,few clouds
266,Grindavik,IS,63.8424,-22.4338,28.87,69,100,13.8,light snow
267,Kankon,IN,15.0167,74.0167,71.62,85,60,7.63,broken clouds
268,Altay,CN,47.8667,88.1167,7.16,46,9,9.33,clear sky
269,Luderitz,NA,-26.6481,15.1594,69.46,71,37,3.44,scattered clouds
270,Shymkent,KZ,42.3,69.6,30.79,100,100,8.95,overcast clouds
271,Santa Luzia,BR,-19.7697,-43.8514,71.94,92,75,4.61,broken clouds
272,Porto Seguro,BR,-16.4497,-39.0647,81.12,78,40,6.91,scattered clouds
273,Baykit,RU,61.67,96.37,-3.98,99,99,2.21,overcast clouds
274,Aquiraz,BR,-3.9014,-38.3911,82.49,76,30,7.11,scattered clouds
275,Nevers,FR,46.9167,3.3333,48.79,89,100,15.68,overcast clouds
276,Gobabis,NA,-22.45,18.9667,68.13,63,39,6.96,scattered clouds
277,Bambous Virieux,MU,-20.3428,57.7575,79.21,89,40,9.22,scattered clouds
278,Trinidad,BO,-14.8333,-64.9,78.78,94,75,4.61,broken clouds
279,Talnakh,RU,69.4865,88.3972,-27.72,99,55,1.63,broken clouds
280,Jacqueville,CI,5.2052,-4.4146,80.51,84,79,11.97,broken clouds
281,Calatayud,ES,41.3535,-1.6432,48.78,45,5,3.89,clear sky
282,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,100,75,16.6,broken clouds
283,Granadilla De Abona,ES,28.1188,-16.576,59.36,73,0,25.32,clear sky
284,Lerwick,GB,60.1545,-1.1494,39.2,56,28,34.07,scattered clouds
285,Kenai,US,60.5544,-151.2583,26.15,94,0,3.44,clear sky
286,Nisia Floresta,BR,-6.0911,-35.2086,82.78,70,2,11.05,clear sky
287,Baoqing,CN,46.3317,132.2111,-8.18,94,57,5.01,broken clouds
288,Luau,AO,-10.7073,22.2247,64.42,90,97,1.43,overcast clouds
289,Andenes,NO,69.3143,16.1194,31.98,74,75,9.22,broken clouds
290,Norsup,VU,-16.0667,167.3833,83.44,73,100,11.16,heavy intensity rain
291,Toyooka,JP,35.5333,134.8333,32.11,94,100,0.85,snow
292,Jacobabad,PK,28.281,68.4388,59.54,37,47,2.01,scattered clouds
293,Sovetskiy,RU,61.3614,63.5842,8.51,95,100,7.14,overcast clouds
294,Tarquinia,IT,42.2482,11.7553,51.8,96,53,16.33,broken clouds
295,Sola,VU,-13.8833,167.55,82.92,77,100,17.45,moderate rain
296,Belem De Sao Francisco,BR,-8.7539,-38.9658,90.23,28,94,5.3,overcast clouds
297,Omboue,GA,-1.5746,9.2618,78.19,86,14,7.87,few clouds
298,Portlethen,GB,57.0547,-2.1307,38.48,71,4,7.0,clear sky
299,Dwarka,IN,22.2394,68.9678,68.09,63,5,8.19,clear sky
300,Boyolangu,ID,-8.1181,111.8935,75.09,93,100,4.94,overcast clouds
301,Sitka,US,57.0531,-135.33,42.69,81,100,11.5,moderate rain
302,Chapais,CA,49.7834,-74.8492,6.58,94,100,8.59,light snow
303,Shache,CN,38.4167,77.2406,25.57,60,95,4.92,overcast clouds
304,Novosokolniki,RU,56.3463,30.1578,31.98,94,100,11.83,light snow
305,Inhambane,MZ,-23.865,35.3833,76.57,83,26,13.33,light rain
306,Sisimiut,GL,66.9395,-53.6735,0.73,93,100,10.33,overcast clouds
307,Kamaishi,JP,39.2667,141.8833,26.44,63,5,4.65,clear sky
308,Hualmay,PE,-11.0964,-77.6139,73.47,71,83,8.46,broken clouds
309,Vanavara,RU,60.34,102.2797,-17.09,100,97,1.59,overcast clouds
310,Pacific Grove,US,36.6177,-121.9166,73.62,54,0,4.0,clear sky
311,Kovur,IN,14.4833,79.9833,70.81,78,100,3.71,overcast clouds
312,Luba,GQ,3.4568,8.5547,76.89,84,7,6.44,clear sky
313,Partizanskoye,RU,55.5006,94.39,10.67,87,100,5.1,overcast clouds
314,Nchelenge,ZM,-9.3451,28.734,68.94,91,100,5.12,moderate rain
315,Tual,ID,-5.6667,132.75,82.54,75,100,3.91,overcast clouds
316,Bernalillo,US,35.05,-106.6673,44.33,46,75,21.85,broken clouds
317,Xichang,CN,27.8964,102.2634,38.55,91,66,1.83,broken clouds
